Player,Shot,Stroke,Spin,Speed (MPH),Point,Game,Set,Shot Placement (x),Shot Placement (y),Racket Contact (x),Racket Contact (y),Racket Contact (z),Direction,Result
Roger Federer,589,Forehand,Topspin,55.295399,164,0,0,1.639813,19.894295,4.176712,0.912668,0.904657,down the line,In
Juan Potro,590,Backhand,Flat,54.643696,164,0,0,1.552028,8.062803,2.029038,25.64657,0.883183,down the line,In
Roger Federer,591,FH Volley,Flat,24.133097,164,0,0,-3.700202,19.351982,1.552028,7.537556,0.72345,cross court,In
Roger Federer,592,Serve,Flat,65.911385,165,0,0,1.520378,5.614007,-0.682243,-0.116076,2.493876,out wide,Net
Roger Federer,593,Serve,Kick,58.406868,166,0,0,1.579766,15.815421,-1.714597,0.010748,2.299594,down the T,In
Juan Potro,594,Forehand,Topspin,71.964195,166,0,0,-1.637709,3.023743,1.806301,21.888933,1.299004,inside out,In
Roger Federer,595,Backhand,Topspin,46.553501,166,0,0,0.334201,19.142786,-2.399209,0.192223,0.764075,cross court,In
Juan Potro,596,Forehand,Topspin,61.399464,166,0,0,-1.976962,3.646968,0.832819,25.155348,1.000919,inside out,In
Roger Federer,597,Backhand,Topspin,55.657593,166,0,0,1.166344,19.081457,-2.426915,0.107005,1.159853,cross court,In
Roger Federer,598,Serve,Slice,81.096001,167,0,0,-0.541765,16.786922,0.15733,0.177732,1.496361,down the T,In
Juan Potro,599,Backhand,Slice,35.119736,167,0,0,-1.052287,7.309075,-1.258359,23.58185,0.880236,inside in,In
Roger Federer,600,Serve,Slice,76.349052,168,0,0,-1.542103,17.842646,0.495722,0.116758,2.472157,down the T,In
Juan Potro,601,Backhand,Topspin,37.362808,168,0,0,-0.468077,7.992696,-1.535856,23.9648,0.934067,inside in,In
Roger Federer,602,Forehand,Topspin,41.426918,168,0,0,-2.987217,23.888464,-0.124155,2.511223,0.795286,inside in,Out
Roger Federer,603,Serve,Flat,81.243561,169,0,0,2.038577,15.186874,-0.936336,0.09,2.582083,out wide,In
Juan Potro,604,Backhand,Flat,35.72459,169,0,0,0.549876,14.726073,3.822614,24.06423,0.958878,cross court,Net
Juan Potro,605,Serve,Kick,89.629539,170,0,0,0.398534,7.193664,-0.953549,22.353458,2.563152,down the T,In
Roger Federer,606,Backhand,Flat,42.674385,170,0,0,1.205407,21.414038,0.968897,-0.390056,0.875311,inside in,In
Roger Federer,607,Serve,Kick,71.700745,171,0,0,0.342604,17.521749,-0.346969,-0.216344,2.358568,down the T,In
Juan Potro,608,Forehand,Topspin,43.383278,171,0,0,1.114107,3.761029,0.550355,23.678083,0.909226,inside in,In
Roger Federer,609,Forehand,Topspin,59.326832,171,0,0,2.309792,18.371021,1.377534,-0.513679,0.851649,down the line,In
Juan Potro,610,Backhand,Slice,31.070358,171,0,0,-4.238254,14.101984,2.909294,25.825062,0.974812,down the line,Net
Roger Federer,611,Serve,Slice,77.685738,172,0,0,-2.634213,11.550992,0.506296,1.090692,2.090701,out wide,Net
Roger Federer,612,Serve,Slice,76.21347,173,0,0,-1.486636,17.872608,0.359641,0.134643,1.931083,down the T,In
Juan Potro,613,Serve,Flat,95.03437,174,0,0,-2.369998,6.984655,0.867527,23.516712,2.326326,out wide,In
Roger Federer,614,Backhand,Topspin,39.963337,174,0,0,1.748153,16.709732,-3.209191,2.20856,1.367973,cross court,In
Juan Potro,615,Serve,Flat,64.232277,175,0,0,-3.633252,6.505104,0.962737,22.964312,2.619758,out wide,In
Roger Federer,616,Backhand,Flat,41.837276,175,0,0,0.645646,18.812757,-4.325313,0.756367,0.850986,down the line,In
Juan Potro,617,Serve,Flat,113.811325,176,0,0,0.193969,5.569637,-0.493182,24.050859,2.513791,down the T,In
Roger Federer,618,Backhand,Slice,40.368572,176,0,0,2.164294,17.098043,0.88517,-1.469953,0.776088,inside in,In
Juan Potro,619,BH Volley,Flat,17.320551,176,0,0,0.775471,4.76054,2.164294,18.306831,1.15644,down the line,In
Roger Federer,620,Serve,Flat,83.870499,177,0,0,2.890221,16.190453,-0.763294,0.427212,1.95322,out wide,In
Juan Potro,621,Backhand,Slice,64.689857,178,0,0,-0.093776,5.619973,4.906784,24.739626,1.138851,down the line,In
Roger Federer,622,Serve,Flat,62.86911,179,0,0,1.840895,16.594151,-0.093776,0.232118,2.438339,down the T,In
Juan Potro,623,Serve,Flat,112.58358,180,0,0,0.171225,5.370378,-0.098466,23.532288,2.501115,down the T,Out
Juan Potro,624,Serve,Flat,77.692528,181,0,0,0.342643,6.204352,0.06196,22.278786,2.17455,down the T,In
Roger Federer,625,Forehand,Topspin,43.302887,181,0,0,-4.778572,24.951122,0,-0.525247,0,inside in,Out
Juan Potro,626,Serve,Kick,97.717178,182,0,0,0.586973,7.374019,-0.1824,22.557875,2.460425,down the T,In
Roger Federer,627,Backhand,Slice,38.181961,182,0,0,2.503466,17.153439,0.975549,1.68011,1.253399,inside in,In
Juan Potro,628,Backhand,Slice,70.087326,182,0,0,-1.695111,2.054852,2.893145,23.294527,0.733158,cross court,In
Roger Federer,629,Forehand,Topspin,54.479961,182,0,0,2.643635,18.881392,-2.168652,-0.892459,0.597202,inside out,In
Roger Federer,630,Serve,Flat,67.037132,183,0,0,2.127191,15.871206,-0.3433,0.440898,2.33475,out wide,In
Juan Potro,631,Backhand,Flat,54.739578,183,0,0,1.125114,1.786794,3.786887,24.059473,1.144008,down the line,In
Roger Federer,632,Serve,Flat,71.810898,184,0,0,2.369402,16.136938,-0.404914,-0.39302,2.456137,out wide,In
Juan Potro,633,Backhand,Topspin,53.432526,184,0,0,-1.707309,4.819232,3.487486,22.917181,0.997491,cross court,In
Roger Federer,634,Backhand,Flat,51.141449,184,0,0,-1.696935,19.411076,-3.617345,1.116747,1.144267,down the line,In
Juan Potro,635,Forehand,Topspin,55.162437,184,0,0,0.643548,7.774154,-1.314614,24.711241,0.890815,cross court,In
Roger Federer,636,Forehand,Topspin,52.307579,184,0,0,-3.081317,19.487114,2.326657,1.467008,0.840442,cross court,In
Juan Potro,637,Forehand,Slice,64.873611,184,0,0,-3.420251,2.122551,-3.938293,25.055073,1.005573,down the line,In
Roger Federer,638,Backhand,Slice,34.009953,184,0,0,0.282254,16.126276,-3.768851,-0.890946,0.826125,cross court,In
Juan Potro,639,Backhand,Flat,40.08744,184,0,0,-1.395784,3.576668,0.197899,22.245125,0.582185,cross court,In
Roger Federer,640,Forehand,Flat,51.30616,184,0,0,1.88732,19.119884,-1.858027,1.07964,0.831874,inside out,In
Juan Potro,641,Backhand,Slice,32.609207,184,0,0,-1.266131,3.363666,-0.351926,22.73385,1.592322,inside in,In
Juan Potro,642,Serve,Slice,121.590271,185,0,0,-1.931532,7.140079,0.121273,23.17816,2.406023,down the T,Out
Juan Potro,643,Serve,Slice,30.76199,186,0,0,-3.113875,6.477829,0.64265,23.641729,2.454123,out wide,In
Roger Federer,644,Backhand,Flat,29.469656,186,0,0,-1.266131,14.55916,-3.958451,1.55212,1.095859,down the line,In
Juan Potro,645,Serve,Flat,85.576485,187,0,0,3.1861,6.351611,-0.061569,22.488405,1.975688,out wide,In
Roger Federer,646,Forehand,Flat,31.560863,187,0,0,4.655961,-0.314024,5.429816,-0.026436,1.225953,cross court,Net
Roger Federer,647,Serve,Slice,73.433144,188,0,0,2.97147,17.598944,-0.979756,0.880026,1.85483,out wide,In
Juan Potro,648,Backhand,Flat,39.621895,188,0,0,-2.776331,-1.206294,4.352641,24.526239,0.963336,down the line,Out
Juan Potro,649,Serve,Kick,70.488297,189,0,0,2.044966,14.001987,-0.46407,24.19322,2.505439,out wide,Net
Juan Potro,650,Backhand,Flat,38.561008,190,0,0,-0.579375,2.403809,1.833064,18.90938,2.055853,cross court,In
Roger Federer,651,Serve,Kick,80.522583,191,0,0,1.369481,17.606737,-0.579375,0.066269,2.44327,down the T,In
Juan Potro,652,Forehand,Topspin,55.484272,191,0,0,-2.193083,2.876781,1.866409,24.495041,1.451911,inside out,In
Juan Potro,653,Serve,Flat,77.371284,192,0,0,-0.322174,6.768193,-0.136627,22.749144,2.522296,down the T,Out
Roger Federer,654,Serve,Slice,72.039062,193,0,0,1.624684,16.824598,-1.790123,0.341897,2.184069,down the T,In
Juan Potro,655,Backhand,Topspin,57.030022,193,0,0,-0.672745,8.20072,2.313848,23.051998,0.884941,cross court,In
Roger Federer,656,Serve,Flat,81.476707,194,0,0,-1.080428,6.119807,-0.408057,0.173577,1.792922,out wide,Net
Roger Federer,657,Serve,Slice,85.933121,195,0,0,-1.13554,16.927143,0.435056,0.679122,2.292079,down the T,In
Juan Potro,658,Backhand,Topspin,50.514595,195,0,0,-4.985488,-0.876861,-1.827035,23.054022,1.115751,inside in,Out
Juan Potro,659,Serve,Flat,99.073555,196,0,0,-1.549666,2.597702,0.403133,23.570391,2.405431,down the T,Out
Roger Federer,660,Forehand,Topspin,47.057518,196,0,0,-1.451967,18.415268,-1.663219,-1.603106,0.898616,inside in,In
Juan Potro,661,Serve,Flat,66.986603,197,0,0,-1.642691,6.238706,0.773966,22.894041,2.504009,down the T,In
Roger Federer,662,Forehand,Topspin,56.273029,197,0,0,1.333173,20.905605,-2.170336,0.875653,1.222323,inside out,In
Juan Potro,663,Backhand,Topspin,46.758232,197,0,0,-2.01457,3.376307,1.454121,23.953516,0.545972,cross court,In
Roger Federer,664,Forehand,Flat,36.630234,197,0,0,1.006807,6.591698,-2.524123,0.945758,0.843513,inside in,Net
Juan Potro,665,Serve,Flat,88.690056,198,0,0,-0.034834,12.886997,-0.165691,23.604927,2.098778,down the T,Net
Juan Potro,666,Serve,Flat,74.552742,199,0,0,1.923588,5.928073,0.227407,23.483191,2.453622,down the T,In
Roger Federer,667,Forehand,Topspin,49.793777,199,0,0,-2.465456,18.336081,2.822238,1.943505,1.223316,cross court,In
Juan Potro,668,Forehand,Topspin,60.496681,199,0,0,-2.498453,2.539025,-2.891334,23.873648,0.755764,down the line,In
Roger Federer,669,Backhand,Slice,37.877178,199,0,0,0.162409,20.641958,-2.595464,-0.773435,0.976737,cross court,In
Juan Potro,670,Forehand,Topspin,66.549919,199,0,0,1.400144,4.451805,0.255024,25.057348,1.039356,inside in,In
Roger Federer,671,Forehand,Topspin,54.228062,199,0,0,-3.103293,18.614895,2.35869,-1.694362,0.742606,cross court,In
Juan Potro,672,Forehand,Flat,58.835224,199,0,0,-2.529924,5.875866,-4.29524,24.872293,1.133244,down the line,In
Roger Federer,673,Backhand,Flat,39.494137,199,0,0,1.448901,16.322868,-2.107534,0.30939,0.226774,cross court,In
Juan Potro,674,Backhand,Slice,44.925568,199,0,0,-2.338553,1.419526,1.964761,22.181932,0.578527,cross court,In
Roger Federer,675,Forehand,Topspin,52.254372,199,0,0,4.901815,23.048443,-2.184959,-0.836098,0.765831,inside in,Out
Roger Federer,676,Serve,Flat,79.520035,200,0,0,2.497978,15.965357,-1.053684,0.076033,1.362075,out wide,In
Juan Potro,677,Backhand,Slice,44.615166,200,0,0,-1.399424,1.628527,3.658727,23.358553,0.949843,cross court,In
Roger Federer,678,Forehand,Topspin,66.349236,200,0,0,2.924731,19.881002,-1.32415,-0.922696,0.895628,inside out,In
Juan Potro,679,Backhand,Slice,42.413895,200,0,0,-2.74751,5.760313,3.885372,25.257942,0.997858,cross court,In
Roger Federer,680,Forehand,Topspin,59.533279,200,0,0,-2.627232,19.841034,-3.376891,0.873217,0.930555,inside in,In
Juan Potro,681,Forehand,Slice,35.863842,200,0,0,0.267758,1.301487,-2.564587,25.790289,0.735135,cross court,In
Roger Federer,682,Forehand,Topspin,64.136635,200,0,0,2.169034,19.140345,0.410533,-0.390485,1.409026,down the line,In
Juan Potro,683,Backhand,Flat,58.999729,200,0,0,-1.115803,7.978055,3.031898,25.692881,0.773759,cross court,In
Roger Federer,684,BH Volley,Flat,24.248772,200,0,0,-2.476755,24.510517,-1.115803,7.452808,0.542037,down the line,Out
Juan Potro,685,Forehand,Topspin,76.012909,201,0,0,-1.525652,5.786922,-2.038842,26.026705,0.841059,down the line,In
Roger Federer,686,Forehand,Topspin,36.771862,202,0,0,-0.489546,15.108196,-2.680246,2.818271,1.060275,inside in,In
Juan Potro,687,Serve,Flat,105.496658,203,0,0,-1.087917,7.501759,0.012194,23.471222,2.296045,down the T,In
Roger Federer,688,Forehand,Topspin,35.430836,203,0,0,-1.603285,16.262587,-2.085075,1.50486,1.212165,inside in,In
Juan Potro,689,Serve,Flat,99.437904,204,0,0,0.215232,7.66652,-0.133603,23.771654,2.629838,down the T,In
Roger Federer,690,Backhand,Slice,45.027168,204,0,0,0.350241,6.08288,0.473551,0.682777,0.742296,inside out,Net
Juan Potro,691,Serve,Flat,70.191208,205,0,0,-3.57775,3.613022,0.517062,25.050671,2.453036,out wide,Out
Roger Federer,692,Backhand,Topspin,39.644684,205,0,0,1.296291,17.136793,-3.732326,1.269195,0.847316,cross court,In
Juan Potro,693,Serve,Slice,31.786325,206,0,0,-3.061696,5.680464,0.415258,23.640718,2.546694,out wide,In
Roger Federer,694,Backhand,Slice,38.771679,206,0,0,0.459439,19.549314,-3.509891,2.177804,1.33286,cross court,In
Juan Potro,695,Forehand,Topspin,56.610378,206,0,0,-1.973365,2.552572,1.584649,24.668234,1.020442,inside out,In
Roger Federer,696,Backhand,Flat,57.116714,206,0,0,-1.12861,19.908398,-2.411264,0.18684,0.56885,down the line,In
Juan Potro,697,Forehand,Topspin,61.563431,206,0,0,-3.227915,0.625123,-0.953532,24.907923,0.869343,down the line,In
Roger Federer,698,Backhand,Flat,41.365604,206,0,0,-1.551899,18.719704,-3.345235,-0.600282,0.433121,down the line,In
Juan Potro,699,Forehand,Topspin,30.080185,206,0,0,2.962527,2.924365,-1.091813,23.816818,0.795184,cross court,In
Roger Federer,700,Forehand,Slice,40.118488,206,0,0,1.432943,17.925932,3.763912,-0.260665,0.729247,down the line,In
Juan Potro,701,Forehand,Topspin,78.271965,206,0,0,-3.06003,2.450339,0.648199,22.972244,0.813703,inside out,In
Roger Federer,702,Backhand,Slice,40.190346,206,0,0,2.037852,20.710676,-3.897291,-1.219016,0.856356,cross court,In
Juan Potro,703,Forehand,Topspin,72.284973,206,0,0,-2.37844,2.594504,2.675007,25.548979,1.109081,inside out,In
Roger Federer,704,Backhand,Slice,43.200565,206,0,0,-1.97439,20.553476,-3.062895,-0.942588,0.700613,down the line,In
Juan Potro,705,Forehand,Topspin,51.674099,206,0,0,-2.721395,6.639287,-2.02304,25.534338,0.875593,down the line,In
Roger Federer,706,Backhand,Topspin,58.93647,206,0,0,-4.294149,24.840872,-2.609627,0.409495,0.230914,down the line,Out
Juan Potro,707,Serve,Flat,69.454277,207,0,0,4.427687,6.753101,-0.115719,23.620859,2.301427,out wide,Out
Roger Federer,708,Forehand,Flat,45.172737,207,0,0,-3.312831,17.046824,5.019389,0.376317,0.974197,down the line,In
Juan Potro,709,Serve,Flat,121.205727,208,0,0,-3.080199,5.994462,0.253238,23.591482,2.350363,out wide,In
Roger Federer,710,Backhand,Slice,37.122074,208,0,0,0.378008,16.713776,-4.948398,0.660264,1.016959,down the line,In
Juan Potro,711,Forehand,Flat,61.283836,208,0,0,2.409125,1.277926,1.402022,22.02899,0.559224,inside in,In
Roger Federer,712,Forehand,Flat,69.232994,208,0,0,0.483499,20.500717,3.068333,-2.050177,1.040776,down the line,In
Juan Potro,713,Overhead,Topspin,30.636181,208,0,0,-0.984434,2.357142,-0.422719,21.990961,1.54237,inside in,In
Roger Federer,714,Forehand,Topspin,57.869308,208,0,0,-1.174658,21.955221,-0.89791,-1.413935,1.25784,inside in,In
Juan Potro,715,Forehand,Topspin,47.36594,208,0,0,4.808028,3.215181,-1.135153,24.870855,0.635699,down the line,Out
Juan Potro,716,Serve,Flat,72.280052,209,0,0,0.160271,6.686506,0.120835,22.70372,2.314637,down the T,In
Roger Federer,717,Backhand,Slice,35.618866,209,0,0,1.412749,15.964277,0.256153,-0.12218,1.074492,inside in,In
Juan Potro,718,Backhand,Topspin,54.034348,209,0,0,-3.20163,1.546645,2.728078,22.055586,0.954689,cross court,In
Roger Federer,719,Backhand,Flat,35.407974,209,0,0,-1.887207,5.916289,-4.336134,-1.033735,1.11817,down the line,Net
Juan Potro,720,Serve,Flat,84.622208,210,0,0,-0.459894,8.526322,0.864116,24.702431,2.50994,down the T,In
Roger Federer,721,Forehand,Flat,38.600712,210,0,0,-1.538241,17.249981,-0.9917,1.083743,1.011026,inside in,In
Juan Potro,722,Forehand,Topspin,77.428474,210,0,0,-1.586082,3.054031,-1.570537,22.546125,0.979683,down the line,In
Roger Federer,723,Backhand,Topspin,52.100311,210,0,0,0.41969,14.761778,-1.622278,0.001561,0.796636,cross court,In
Juan Potro,724,BH Volley,Flat,19.052607,210,0,0,-1.831104,-0.301801,0.41969,15.970566,1.163759,cross court,Out
Juan Potro,725,Serve,Flat,80.25676,211,0,0,4.630641,4.163102,0.047187,22.599005,2.559917,out wide,Out
Juan Potro,726,Serve,Kick,87.903351,212,0,0,0.586382,6.964802,-0.095476,23.823017,2.462965,down the T,In
Roger Federer,727,Forehand,Topspin,40.562531,212,0,0,1.473513,15.191616,0,-0.525247,0,inside in,In
Juan Potro,728,Backhand,Topspin,56.664513,212,0,0,-1.938747,5.631001,2.850866,24.200743,1.019809,cross court,In
Roger Federer,729,Backhand,Flat,31.553928,212,0,0,-2.012954,5.747269,-2.643408,0.834969,0.546452,cross court,Net
Juan Potro,730,Serve,Slice,73.105865,213,0,0,-2.867018,6.461554,0.216738,24.064768,2.294676,out wide,In
Roger Federer,731,Backhand,Slice,39.045437,213,0,0,0.44367,18.91194,-4.420589,0.227459,0.992932,down the line,In
Juan Potro,732,Forehand,Topspin,80.935898,213,0,0,1.611845,2.118489,1.574258,23.68589,0.803107,inside in,In
Roger Federer,733,Forehand,Flat,48.787041,213,0,0,4.000282,18.381901,0,-0.525247,0,inside in,In
Juan Potro,734,Backhand,Slice,49.695621,213,0,0,4.49087,23.820356,4.556695,25.666195,1.18195,cross court,Net
Juan Potro,735,Serve,Flat,65.417114,214,0,0,0.209037,6.382398,-0.300767,22.81698,2.242492,down the T,In
Roger Federer,736,Backhand,Topspin,44.030045,214,0,0,1.209132,18.426643,1.053265,-0.247313,1.083109,inside in,In
Juan Potro,737,Forehand,Topspin,66.092499,214,0,0,1.47968,2.513307,1.622197,24.933855,1.043951,inside in,In
Roger Federer,738,Forehand,Topspin,45.048794,214,0,0,-2.418398,18.967319,2.082639,-1.661378,0.712165,cross court,In
Juan Potro,739,Forehand,Topspin,59.487984,214,0,0,2.226997,6.112926,-2.672272,23.841177,0.647565,cross court,In
Juan Potro,740,Serve,Flat,87.760925,215,0,0,-3.398078,2.195566,-0.037802,22.716219,2.464388,out wide,Out
Roger Federer,741,Backhand,Topspin,37.560558,216,0,0,0.708597,21.438286,0,-0.525247,0,inside in,In
Juan Potro,742,Serve,Slice,67.89785,217,0,0,-2.061898,6.855883,0.708597,22.647074,2.644388,down the T,In
Roger Federer,743,Backhand,Flat,45.217819,217,0,0,2.191742,16.709496,-2.762109,0.664142,1.030296,cross court,In
Juan Potro,744,Backhand,Topspin,78.857597,217,0,0,-2.727595,2.612153,3.608437,25.089073,1.190304,cross court,In
