Player,Shot,Stroke,Spin,Speed (MPH),Point,Game,Set,Shot Placement (x),Shot Placement (y),Racket Contact (x),Racket Contact (y),Racket Contact (z),Direction,Result
Juan Potro,761,FH Volley,Flat,19.052607,222,0,0,1.342323,17.967373,1.342323,19.176161,0.309694,cross court,Net
Juan Potro,762,BH Volley,Flat,23.382744,222,0,0,1.373239,6.861552,1.342323,19.176161,0.309694,down the line,In
Roger Federer,763,Forehand,Topspin,37.944393,222,0,0,-3.071352,16.320881,1.789736,6.052204,0.796182,cross court,In
Juan Potro,764,Forehand,Topspin,59.52132,222,0,0,-2.588247,2.934409,-3.946404,19.565224,0.889472,down the line,In
Roger Federer,765,Serve,Slice,65.887886,223,0,0,-2.61961,16.579344,-1.029832,0.363085,1.850618,out wide,Out
Juan Potro,766,Forehand,Topspin,45.221481,223,0,0,-0.501922,8.190475,-3.619179,24.177759,1.297904,down the line,In
Roger Federer,767,FH Volley,Flat,23.789848,223,0,0,-0.302561,9.094133,-0.501922,7.665228,1.470474,cross court,Net
Roger Federer,768,FH Volley,Topspin,25.114799,223,0,0,0.745243,19.014791,-0.157493,5.397661,0.975896,cross court,In
Juan Potro,769,Backhand,Topspin,54.661144,223,0,0,0.389514,5.780126,1.376436,24.994066,0.787035,down the line,In
Roger Federer,770,Forehand,Topspin,54.725674,223,0,0,2.334651,19.035702,0.258633,4.113291,0.948262,down the line,In
Roger Federer,771,Overhead,Flat,77.986626,223,0,0,2.225054,17.079306,-0.454837,4.921226,2.338995,---,In
Juan Potro,772,Backhand,Slice,28.014021,223,0,0,-0.251998,18.68644,3.850898,25.012915,1.144941,down the line,Net
Roger Federer,773,Forehand,Topspin,49.311172,223,0,0,-3.38477,23.961552,-0.959112,5.048948,1.101892,inside in,Out
Roger Federer,774,Serve,Flat,73.921867,224,0,0,-3.296718,17.374197,0.659762,0.553957,2.291714,out wide,In
Juan Potro,775,Forehand,Topspin,46.316902,224,0,0,-2.374606,3.071696,-3.892978,23.758549,0.94969,down the line,In
Roger Federer,776,Backhand,Topspin,49.550835,224,0,0,1.283032,18.550238,-1.878083,1.695317,1.4977,cross court,In
Juan Potro,777,Backhand,Topspin,71.557686,224,0,0,-0.928269,2.582932,1.528173,23.589685,0.830372,cross court,In
Roger Federer,778,Forehand,Topspin,60.856094,224,0,0,-1.322127,21.819317,-0.954992,0.693542,1.041819,inside in,In
Juan Potro,779,Backhand,Topspin,50.598148,224,0,0,-1.8511,17.398788,-1.322127,23.028105,0.308272,inside out,Net
Roger Federer,780,Serve,Flat,75.692719,225,0,0,0.261948,15.433031,-0.647546,1.134503,2.318761,down the T,In
Juan Potro,781,Forehand,Topspin,55.90023,225,0,0,0.538566,3.892556,0.882931,23.59263,0.937995,inside in,In
Roger Federer,782,Forehand,Topspin,62.872517,225,0,0,-3.894512,22.022369,0.653098,-0.27315,0.698082,cross court,In
Roger Federer,783,Serve,Flat,84.860672,226,0,0,-2.222452,17.635605,0.716749,0.506687,2.261043,down the T,In
Juan Potro,784,Backhand,Topspin,41.562057,226,0,0,-0.262583,2.702697,-2.367348,22.084616,0.485469,inside in,In
Roger Federer,785,Forehand,Flat,33.41291,227,0,0,0.102285,18.137447,-0.074991,1.214891,0.793631,inside out,In
Roger Federer,786,Serve,Flat,79.291862,228,0,0,-0.908711,17.384508,0.077244,0.013838,1.963003,down the T,In
Juan Potro,787,Backhand,Topspin,51.619621,228,0,0,-1.187153,6.453476,-1.449012,24.641874,1.199996,inside in,In
Roger Federer,788,Forehand,Flat,48.523769,228,0,0,1.512901,18.597469,-1.229171,0.109073,0.736795,inside out,In
Juan Potro,789,Backhand,Topspin,42.573128,228,0,0,0.040142,13.672254,2.024463,24.623215,1.067861,cross court,Net
Roger Federer,790,Serve,Flat,86.741188,229,0,0,3.037805,16.265373,-0.870833,0.303178,2.840216,out wide,In
Juan Potro,791,Backhand,Topspin,36.031052,229,0,0,0.293957,1.66305,4.833193,23.609648,1.345961,down the line,In
Roger Federer,792,Serve,Kick,61.432293,230,0,0,-3.401802,16.808147,0.293957,1.137803,2.367642,out wide,In
Juan Potro,793,Forehand,Topspin,62.846054,230,0,0,-0.466283,3.684522,-4.030909,22.844988,1.226319,down the line,In
Roger Federer,794,Forehand,Topspin,43.204277,230,0,0,1.578567,23.878447,-0.209179,0.395428,0.470276,inside out,Out
Roger Federer,795,Serve,Slice,67.36425,231,0,0,-0.988582,16.111753,0.605598,0.49166,2.356303,down the T,In
Juan Potro,796,Backhand,Slice,44.343636,231,0,0,-0.389125,5.931754,-1.123034,23.300945,0.909354,inside in,In
Roger Federer,797,Forehand,Topspin,61.518951,231,0,0,-1.930294,18.945963,-0.406478,3.800034,1.058891,inside in,In
Roger Federer,798,Serve,Slice,63.497501,232,0,0,-0.335843,15.273785,-0.469639,0.507579,2.478042,down the T,Out
Juan Potro,799,Backhand,Flat,41.530979,232,0,0,-1.96171,6.573202,4.383499,24.558222,1.083131,down the line,In
Roger Federer,800,Backhand,Slice,29.946354,232,0,0,-2.942091,16.944044,-2.305637,5.868346,0.972988,down the line,In
Juan Potro,801,Forehand,Flat,34.878067,232,0,0,2.2352,19.89135,-2.459237,19.504961,0.653603,down the line,Net
Roger Federer,802,Serve,Flat,66.155983,233,0,0,-0.800867,5.747269,0.236522,0.378066,2.405212,out wide,Net
Roger Federer,803,Serve,Slice,67.096901,234,0,0,-1.060622,17.305965,0.333915,0.740981,2.425491,down the T,In
Juan Potro,804,Backhand,Flat,75.743011,234,0,0,-1.871039,3.248276,-1.30292,23.421259,0.98608,inside in,In
Roger Federer,805,Backhand,Flat,44.875916,234,0,0,1.74981,18.527359,-2.528398,-0.622142,0.848847,cross court,In
Juan Potro,806,Backhand,Topspin,60.313053,234,0,0,2.407046,2.466024,2.662153,23.770056,1.078575,down the line,In
Roger Federer,807,Forehand,Topspin,43.591022,234,0,0,-1.577325,15.280592,2.251441,-1.5338,0.641042,cross court,In
Roger Federer,808,Serve,Flat,73.782272,235,0,0,1.964099,16.392067,-0.747425,-0.614641,2.618064,down the T,In
Juan Potro,809,Backhand,Topspin,52.875374,235,0,0,1.629403,4.691892,2.928965,23.276705,1.076053,down the line,In
Roger Federer,810,Forehand,Topspin,54.497459,235,0,0,-2.270774,18.473209,0.714764,0.644269,0.723434,cross court,In
Juan Potro,811,Forehand,Slice,35.50399,235,0,0,-2.097388,1.993488,-2.95656,24.762678,0.829134,down the line,In
Roger Federer,812,Forehand,Flat,62.094028,235,0,0,-2.640658,19.260796,-2.150832,-0.743578,1.208051,inside in,In
Roger Federer,813,Serve,Slice,61.170303,236,0,0,-3.034393,15.817241,0.888457,-0.650815,2.36057,out wide,In
Juan Potro,814,Forehand,Flat,43.164505,236,0,0,-1.465283,6.221631,-4.428715,22.891609,1.057318,down the line,In
Roger Federer,815,Forehand,Topspin,60.508598,236,0,0,2.889852,20.084118,-0.709004,1.98768,0.974345,inside out,In
Juan Potro,816,Serve,Flat,90.18264,237,0,0,0.4587,15.353011,-0.286503,22.371706,2.612597,down the T,Net
Juan Potro,817,Serve,Kick,35.079304,238,0,0,0.584772,5.981572,0.262434,23.954893,2.423752,down the T,In
Roger Federer,818,Backhand,Slice,44.550529,238,0,0,1.851336,16.738394,0.619894,1.446173,1.489285,inside in,In
Juan Potro,819,Backhand,Slice,48.637566,238,0,0,-2.784662,2.656536,2.412538,22.465387,0.806658,cross court,In
Roger Federer,820,Backhand,Topspin,49.988674,238,0,0,0.69248,18.997047,-3.473875,0.157179,0.735988,cross court,In
Juan Potro,821,Backhand,Topspin,50.269855,238,0,0,-1.963288,2.332811,1.146707,24.016495,0.907696,cross court,In
Roger Federer,822,Backhand,Slice,41.387726,238,0,0,1.954447,18.614895,-2.368017,-0.406477,0.705582,cross court,In
Juan Potro,823,Backhand,Slice,48.220875,238,0,0,-2.217788,1.700079,2.443549,24.152712,0.843811,cross court,In
Roger Federer,824,Forehand,Flat,52.170395,238,0,0,2.795724,18.702208,-2.429485,-0.772437,0.561237,inside out,In
Juan Potro,825,Backhand,Topspin,48.927052,238,0,0,-1.526094,2.143858,3.810249,25.534225,1.03996,cross court,In
Roger Federer,826,Forehand,Topspin,68.093376,238,0,0,-2.289139,19.136898,-2.201538,-1.667457,0.71019,inside in,In
Juan Potro,827,Serve,Flat,83.078636,239,0,0,-3.143643,6.755105,0.321899,22.326731,2.280472,out wide,In
Roger Federer,828,Backhand,Flat,34.0467,239,0,0,-1.70163,7.089219,-4.693743,-0.916111,0.853661,down the line,Net
Juan Potro,829,Serve,Slice,66.221397,240,0,0,-0.827926,6.662143,0.546749,23.425333,2.558866,down the T,In
Roger Federer,830,Forehand,Flat,47.394512,240,0,0,0.269294,18.86755,-1.387084,-0.586295,0.823475,inside out,In
Juan Potro,831,Serve,Slice,91.299393,241,0,0,-2.609011,5.936793,1.219098,24.457224,2.391793,out wide,In
Roger Federer,832,Backhand,Slice,37.230927,241,0,0,2.00716,22.187794,-3.417416,1.300047,1.053396,cross court,In
Juan Potro,833,Serve,Flat,94.990448,242,0,0,-1.524097,18.277966,0.995708,24.449446,2.547584,out wide,Net
Juan Potro,834,Serve,Slice,30.809837,243,0,0,-3.182252,6.01288,0.21252,23.527176,2.313352,out wide,In
Roger Federer,835,Backhand,Flat,53.332806,243,0,0,-2.265326,19.995171,-4.363723,1.671765,0.914658,down the line,In
Juan Potro,836,Forehand,Flat,38.321465,243,0,0,1.651408,7.77007,-2.102382,25.750227,0.756716,cross court,In
Roger Federer,837,Forehand,Flat,61.136238,243,0,0,2.671246,21.459763,3.36087,5.468115,1.038388,down the line,In
Juan Potro,838,Serve,Flat,112.663109,244,0,0,0.635258,4.067568,-0.382079,22.331766,2.631523,down the T,Out
Roger Federer,839,Backhand,Flat,50.56966,244,0,0,-2.83718,23.80172,0.901329,-0.21804,0.762732,inside out,Out
Juan Potro,840,Serve,Flat,83.826981,245,0,0,2.414286,6.39904,0.239712,23.566031,2.86256,out wide,In
Roger Federer,841,Forehand,Topspin,42.786018,245,0,0,1.086099,16.641102,4.228652,0.523895,1.146355,down the line,In
Juan Potro,842,Backhand,Slice,68.65313,245,0,0,1.383491,2.014891,0.754555,23.286257,0.799991,down the line,In
Roger Federer,843,Forehand,Flat,45.712936,245,0,0,-0.607767,17.345989,1.496998,-0.044814,0.615989,cross court,In
Juan Potro,844,Forehand,Topspin,67.3022,245,0,0,2.322608,0.938769,-0.980398,22.510073,0.616525,cross court,In
Roger Federer,845,Forehand,Topspin,30.179703,245,0,0,1.796038,5.54817,3.274164,-0.949864,0.777489,cross court,Net
Juan Potro,846,Serve,Flat,68.87146,246,0,0,2.255133,5.540513,0.338914,24.271765,2.377999,down the T,Out
Juan Potro,847,Serve,Flat,73.467163,247,0,0,-2.825238,6.372118,0.908132,24.46699,2.51277,out wide,In
Roger Federer,848,Backhand,Slice,37.173153,247,0,0,0.67695,15.350963,-3.717398,1.465885,0.863221,cross court,In
Juan Potro,849,Forehand,Topspin,45.800106,247,0,0,-2.350568,2.298963,1.173599,21.791185,0.603654,inside out,In
Roger Federer,850,Backhand,Topspin,51.695786,247,0,0,-2.355019,18.01223,-2.836567,0.178075,0.845423,down the line,In
Juan Potro,851,Forehand,Topspin,56.646046,247,0,0,2.157395,3.109353,-2.139698,25.060976,0.683081,cross court,In
Roger Federer,852,Forehand,Flat,53.359566,247,0,0,-2.708385,18.454039,2.937424,-0.662949,0.695784,cross court,In
Juan Potro,853,Forehand,Topspin,65.998734,247,0,0,-2.373335,1.789968,-4.222197,25.050535,0.904654,down the line,In
Juan Potro,854,Serve,Flat,96.772606,248,0,0,2.877646,3.688747,-0.419941,23.45043,2.688325,out wide,Out
Roger Federer,855,Forehand,Topspin,49.963276,248,0,0,1.125825,18.32865,3.746198,-0.104491,0.923654,down the line,In
Juan Potro,856,Backhand,Slice,47.284084,248,0,0,-2.131199,1.671938,0.977479,23.915468,0.859282,cross court,In
Roger Federer,857,Forehand,Flat,48.765469,248,0,0,-3.100952,6.375612,-2.762263,-0.742421,0.881691,inside out,Net
Juan Potro,858,Serve,Flat,98.899162,249,0,0,-2.022432,6.330084,1.014165,25.096945,2.50247,down the T,In
Roger Federer,859,Backhand,Slice,43.965103,249,0,0,-3.222908,10.2069,-3.763283,0.524931,0.691085,cross court,Net
Juan Potro,860,Serve,Flat,112.818565,250,0,0,-2.082977,5.684486,0.390983,23.712032,2.339529,down the T,Out
Juan Potro,861,Serve,Slice,103.783508,251,0,0,-2.830801,6.556345,0.375649,24.662729,2.644497,out wide,In
Roger Federer,862,Backhand,Topspin,41.656437,251,0,0,-0.852648,20.315582,-3.943693,1.373604,1.005089,down the line,In
Juan Potro,863,Forehand,Topspin,74.204185,251,0,0,1.326133,2.599107,-0.575277,25.56946,1.208598,cross court,In
Juan Potro,864,Serve,Flat,82.847725,252,0,0,0.344249,5.700615,-0.647858,24.038261,2.63498,down the T,In
Roger Federer,865,Backhand,Flat,47.917755,252,0,0,-1.332306,17.040295,0.899402,-1.942385,0.85601,inside out,In
Juan Potro,866,Forehand,Topspin,55.505093,252,0,0,-3.292694,2.595001,-1.270676,22.838226,0.830025,down the line,In
Roger Federer,867,Backhand,Flat,41.967999,252,0,0,0.567829,16.117628,-3.819501,-0.910187,0.776282,cross court,In
Juan Potro,868,BH Volley,Flat,19.052607,252,0,0,1.337251,1.624747,0.567829,17.326416,0.432119,down the line,In
Roger Federer,869,Forehand,Flat,49.327732,252,0,0,-0.1664,8.838037,0,-0.525247,0,inside in,Net
Juan Potro,870,Serve,Flat,96.333694,253,0,0,-2.818285,5.608665,1.00046,23.730013,2.421799,out wide,In
Roger Federer,871,Backhand,Flat,52.337688,253,0,0,-0.652243,16.519373,-4.835118,-1.075889,0.838639,down the line,In
Roger Federer,872,Backhand,Slice,54.874977,253,0,0,0.720115,5.947461,-0.652243,7.780274,0.202836,down the line,Net
Juan Potro,873,Serve,Flat,89.418579,254,0,0,3.316198,5.721681,-0.609113,23.816343,2.432463,out wide,In
Roger Federer,874,Forehand,Flat,54.234325,254,0,0,0.374012,11.227712,5.004309,-0.971322,0.881866,down the line,Net
Juan Potro,875,Serve,Flat,87.415047,255,0,0,-0.641367,3.963896,0.67964,24.62751,2.542661,down the T,Out
Roger Federer,876,Forehand,Flat,55.163242,255,0,0,-0.621456,21.889526,-1.198699,-2.128336,0.750392,inside in,In
Juan Potro,877,Serve,Flat,97.205795,256,0,0,0.175907,5.901061,-0.621456,23.098314,2.52572,down the T,In
Roger Federer,878,Serve,Slice,69.952927,257,0,0,-3.794905,16.735027,0.576241,-0.056627,2.573009,out wide,In
Juan Potro,879,Forehand,Flat,56.264877,257,0,0,1.848343,2.554984,-4.410369,22.266527,1.212548,down the line,In
Roger Federer,880,Forehand,Topspin,52.759655,257,0,0,2.154631,19.502375,2.014586,0.560238,0.698404,down the line,In
Juan Potro,881,Backhand,Flat,39.618977,257,0,0,-2.75288,16.685181,2.486019,25.936621,0.874472,down the line,Net
Roger Federer,882,Overhead,Flat,78.914955,257,0,0,0.314155,17.171009,-0.518991,3.390423,2.058787,---,In
Juan Potro,883,Forehand,Topspin,30.589321,257,0,0,0.279293,6.180469,0.924696,23.089207,1.649724,inside in,In
Roger Federer,884,Serve,Slice,65.67292,258,0,0,-4.535325,16.691046,0.279293,0.138338,2.515815,out wide,Out
Juan Potro,885,Forehand,Topspin,32.325066,258,0,0,-4.95225,24.338621,-4.573631,22.207937,1.178986,cross court,Net
Juan Potro,886,Forehand,Topspin,49.237747,258,0,0,-5.023716,24.840872,-2.416287,14.534594,2.588305,down the line,Net
Juan Potro,887,Backhand,Topspin,51.956985,259,0,0,-1.357409,3.51861,-1.933304,21.789467,0.917679,inside in,In
Roger Federer,888,Backhand,Topspin,60.393391,259,0,0,2.129151,18.657204,-1.240714,0.560811,0.895923,cross court,In
Juan Potro,889,Backhand,Topspin,48.609791,259,0,0,-1.428711,0.247148,3.17986,24.935242,1.009367,cross court,In
Roger Federer,890,Forehand,Flat,59.412045,259,0,0,-1.789082,18.922304,-1.495138,-1.664281,0.556602,inside in,In
Juan Potro,891,Forehand,Topspin,56.202652,259,0,0,5.137964,3.442209,-1.74659,24.572039,0.88681,down the line,Out
Roger Federer,892,Serve,Flat,78.827637,260,0,0,2.670438,17.510494,-0.265734,0.484973,2.374253,out wide,In
Juan Potro,893,Backhand,Slice,45.168453,260,0,0,0.414063,16.906673,4.319473,24.546785,1.173896,down the line,Net
Roger Federer,894,Serve,Flat,76.135193,261,0,0,-3.439841,16.913883,0.634714,-0.420715,2.313538,out wide,In
Juan Potro,895,Forehand,Topspin,47.606949,261,0,0,-0.349651,3.077682,-3.928613,23.495443,1.091385,down the line,In
Roger Federer,896,Forehand,Topspin,63.011353,261,0,0,1.749141,16.983145,0.206377,-0.357114,0.824083,down the line,In
Juan Potro,897,Backhand,Topspin,45.292915,261,0,0,-1.565989,1.00662,2.725085,25.042265,0.89697,cross court,In
Roger Federer,898,Forehand,Topspin,56.388172,261,0,0,0.899946,21.038527,-1.481,-1.536074,0.889434,inside out,In
Juan Potro,899,Forehand,Topspin,61.915554,261,0,0,-2.270641,1.66854,1.845095,24.965948,0.960189,inside out,In
Roger Federer,900,Backhand,Topspin,56.430958,261,0,0,-2.462776,19.149796,-2.639162,-0.400492,0.876708,down the line,In
Roger Federer,901,Serve,Slice,66.451698,262,0,0,0.225694,16.36927,-0.582585,0.903369,2.265876,down the T,In
Juan Potro,902,Forehand,Topspin,56.671024,262,0,0,-2.033784,2.506187,0.665984,23.967813,1.145321,inside out,In
Roger Federer,903,Backhand,Topspin,37.59404,262,0,0,0.627686,17.709099,-2.28232,0.930483,0.665701,cross court,In
Juan Potro,904,Backhand,Topspin,55.840687,262,0,0,0.307632,23.898584,0.901291,23.941721,0.803634,cross court,Net
Roger Federer,905,Serve,Slice,70.178963,263,0,0,-3.319111,16.307579,0.379397,0.348837,2.345297,out wide,In
Juan Potro,906,Forehand,Topspin,70.12796,263,0,0,1.742391,2.189027,-4.198194,23.128054,1.028655,down the line,In
Roger Federer,907,Forehand,Flat,58.749432,263,0,0,2.228305,24.420881,2.021659,0.829631,0.233923,down the line,Out
Roger Federer,908,Serve,Slice,67.526741,264,0,0,-0.042276,16.63575,-0.910418,0.939513,2.629414,down the T,Out
Juan Potro,909,Forehand,Flat,58.112476,264,0,0,-0.473403,6.873391,-0.020345,24.868847,1.213411,down the line,In
Roger Federer,910,Forehand,Topspin,65.965118,264,0,0,-3.393415,21.207964,-0.616383,1.252097,0.812297,inside in,In
Roger Federer,911,Serve,Slice,74.533447,265,0,0,-3.476901,16.446072,0.819527,-0.448109,2.184927,out wide,In
Juan Potro,912,Forehand,Flat,56.97311,265,0,0,5.206059,1.744666,-4.324757,23.060139,0.854318,cross court,Out
Juan Potro,913,Serve,Flat,121.590271,266,0,0,0.759675,4.410923,-0.363089,23.71316,2.59524,down the T,Out
Roger Federer,914,Backhand,Slice,39.254524,266,0,0,0.308689,18.072783,1.119794,-0.2923,0.767422,inside in,In
Juan Potro,915,Forehand,Topspin,77.002007,266,0,0,1.756138,1.97843,-0.225552,23.536467,0.894089,cross court,In
Roger Federer,916,Forehand,Topspin,49.786339,266,0,0,-1.666141,16.500582,2.597354,-1.534371,0.747617,cross court,In
Juan Potro,917,Forehand,Topspin,65.325272,266,0,0,1.968995,1.586773,-2.044741,23.364044,0.862089,cross court,In
Roger Federer,918,Forehand,Flat,38.478886,266,0,0,-1.552228,16.000246,2.428593,-1.516987,0.679854,cross court,In
Juan Potro,919,Forehand,Topspin,74.401299,266,0,0,-1.974396,2.316792,-2.574768,23.227285,1.079083,down the line,In
Juan Potro,920,Serve,Flat,99.996925,267,0,0,-2.740653,4.121443,-0.039135,23.570583,2.352268,out wide,Out
Roger Federer,921,Backhand,Topspin,56.248749,267,0,0,-4.793172,-1.404846,-3.752769,0.751293,0.545032,down the line,Net
Juan Potro,922,Serve,Slice,34.787472,268,0,0,-3.146931,5.715044,0.094857,23.219515,2.358694,out wide,In
Roger Federer,923,Backhand,Slice,36.155537,268,0,0,2.282504,19.450005,-4.49015,1.392293,0.905568,down the line,In
Juan Potro,924,Backhand,Topspin,61.133183,268,0,0,-1.700218,3.298556,3.080861,22.545694,1.047292,cross court,In
Roger Federer,925,Backhand,Flat,54.252079,268,0,0,-1.841864,21.883259,-2.4376,1.594238,0.965656,down the line,In
Juan Potro,926,Serve,Flat,116.063324,269,0,0,0.422659,4.473674,-0.218799,23.322077,2.573177,down the T,Out
Juan Potro,927,Serve,Kick,37.084091,270,0,0,0.772782,5.837422,-0.03951,23.917721,2.236485,down the T,In
Roger Federer,928,Backhand,Flat,49.530548,270,0,0,-1.536152,20.513453,1.769067,0.946891,1.121994,inside out,In
Juan Potro,929,Forehand,Topspin,49.235397,270,0,0,4.377923,0.164853,-1.754126,25.527044,0.92043,down the line,Out
Juan Potro,930,Serve,Flat,121.641953,271,0,0,-1.125067,8.451076,0.33409,23.361574,2.439874,down the T,In
Roger Federer,931,Forehand,Flat,55.19141,271,0,0,3.643298,17.35383,-1.644254,-0.189102,0.65189,inside out,In
Juan Potro,932,Forehand,Topspin,67.917374,271,0,0,-3.408109,1.085668,0.775891,24.727316,0.71899,inside out,In
Roger Federer,933,Backhand,Flat,30.812857,271,0,0,-3.031909,8.035286,-4.036656,-0.55067,0.840703,cross court,Net
Juan Potro,934,Serve,Flat,114.890602,272,0,0,0.635382,5.006428,-0.149215,23.67791,2.343744,down the T,Out
Roger Federer,935,Backhand,Topspin,42.698372,272,0,0,-0.846827,18.363796,1.011095,-0.161205,1.031365,inside out,In
Juan Potro,936,Forehand,Flat,75.050232,272,0,0,-1.822704,1.485498,-0.98632,23.667107,0.908614,down the line,In
Roger Federer,937,Backhand,Slice,41.03513,272,0,0,0.710912,19.891596,-1.745034,-0.807398,0.803365,cross court,In
Juan Potro,938,Forehand,Topspin,59.084332,272,0,0,-2.008654,4.824354,0.755512,25.501596,1.028841,inside out,In
Roger Federer,939,Backhand,Flat,58.796551,272,0,0,1.93071,19.702084,-2.460106,-0.234876,0.867941,cross court,In
Juan Potro,940,Backhand,Topspin,50.688255,272,0,0,-1.611223,2.106453,2.71542,24.507467,1.001197,cross court,In
Roger Federer,941,Forehand,Topspin,53.704956,272,0,0,0.883343,17.727133,-2.516442,-2.047757,0.772109,inside out,In
Juan Potro,942,Backhand,Topspin,54.062244,272,0,0,-2.235151,1.756933,2.105309,25.010878,1.065663,cross court,In
Roger Federer,943,Forehand,Flat,51.262127,272,0,0,2.861649,18.770021,-2.744488,-1.709085,0.761476,inside out,In
Juan Potro,944,Backhand,Topspin,60.350105,272,0,0,-1.93651,2.339849,3.864887,25.538815,0.960571,cross court,In
Roger Federer,945,Backhand,Topspin,60.684269,272,0,0,2.501583,18.349611,-2.341508,-0.417541,1.010321,cross court,In
Juan Potro,946,Backhand,Flat,53.19434,272,0,0,-2.53535,2.490024,3.338899,24.982519,0.948492,cross court,In
Roger Federer,947,Backhand,Slice,55.163239,272,0,0,-2.746501,20.223412,-3.756192,0.402839,0.692561,down the line,In
Juan Potro,948,Forehand,Topspin,51.698402,272,0,0,2.009911,3.221566,-2.373141,26.042685,0.725001,cross court,In
Roger Federer,949,Forehand,Slice,42.689018,272,0,0,2.956338,17.7892,2.691963,1.440181,1.034845,down the line,In
Juan Potro,950,Backhand,Flat,37.598896,272,0,0,-0.725258,8.603205,3.155251,22.790392,0.549335,cross court,In
Roger Federer,951,Overhead,Flat,51.091038,272,0,0,-1.24732,17.57255,-0.725258,8.077958,2.423229,---,In
Juan Potro,952,Serve,Flat,115.563393,273,0,0,-3.504148,2.600995,0.645518,24.476753,2.287837,out wide,Out
Roger Federer,953,Backhand,Flat,43.938759,273,0,0,0.549876,16.427914,-4.038669,0.284901,0.486916,cross court,In
Juan Potro,954,Forehand,Topspin,58.79081,273,0,0,2.602338,1.448267,0.750392,20.988407,0.760433,inside in,In
Juan Potro,955,Serve,Flat,85.196678,274,0,0,0.083653,6.294979,-0.190482,22.646086,2.384647,down the T,In
Roger Federer,956,Backhand,Flat,37.598793,274,0,0,1.702744,16.588324,0.315122,3.880415,1.088564,inside in,In
Juan Potro,957,Backhand,Slice,41.006145,274,0,0,-3.346056,2.474372,2.741762,22.439657,0.907481,cross court,In
Roger Federer,958,Forehand,Topspin,50.086746,274,0,0,2.76297,19.094173,-3.670203,0.854755,0.655014,inside out,In
Juan Potro,959,Backhand,Flat,60.616478,274,0,0,-0.994296,3.790298,3.097125,24.82387,1.174055,cross court,In
Roger Federer,960,Backhand,Flat,51.944122,274,0,0,1.421659,18.858158,-2.917826,1.427136,0.988794,cross court,In
Juan Potro,961,Backhand,Topspin,47.734478,274,0,0,-2.37471,3.928296,1.9557,24.277222,1.180268,cross court,In
Roger Federer,962,Forehand,Topspin,65.895195,274,0,0,-1.866305,20.532112,-3.227278,1.406329,0.791179,inside in,In
Juan Potro,963,Forehand,Flat,42.810505,274,0,0,1.161318,6.476473,-1.568601,25.306448,0.686724,cross court,In
Roger Federer,964,Forehand,Topspin,44.402424,274,0,0,-1.51741,19.49181,1.643858,3.321821,1.145225,cross court,In
Juan Potro,965,Forehand,Topspin,75.337456,274,0,0,-2.39599,2.725796,-1.957212,25.002232,0.867861,down the line,In
Roger Federer,966,Backhand,Slice,32.304615,274,0,0,2.145798,15.992917,-2.534498,-0.614287,0.642282,cross court,In
Juan Potro,967,Backhand,Slice,45.677227,274,0,0,-2.141985,-0.876861,2.564609,20.250612,0.830331,cross court,Out
Juan Potro,968,Serve,Flat,104.609367,275,0,0,-1.762023,16.400244,0.576285,23.876209,2.527438,out wide,Net
Juan Potro,969,Serve,Flat,76.951225,276,0,0,-2.812025,5.609018,0.616707,23.492182,2.503156,out wide,In
Roger Federer,970,Backhand,Topspin,49.220268,276,0,0,3.026301,16.571449,-3.711447,0.952124,1.020467,cross court,In
Juan Potro,971,Backhand,Slice,50.185257,276,0,0,4.524024,14.616135,5.058271,23.61783,0.90486,cross court,Net
Roger Federer,972,Backhand,Topspin,58.266701,276,0,0,0.739613,19.346634,0.903644,6.640426,1.435727,inside in,In
Juan Potro,973,Serve,Flat,99.073555,277,0,0,-0.68036,4.916088,0.684078,24.655447,2.540974,down the T,Out
Roger Federer,974,Forehand,Flat,52.020214,277,0,0,4.64322,20.399675,-1.042937,-1.842057,0.646799,inside in,Out
Juan Potro,975,Serve,Flat,67.008713,278,0,0,-0.974874,18.204763,0.722557,24.211271,2.508328,out wide,Net
Juan Potro,976,Serve,Flat,95.992088,279,0,0,0.140786,3.942873,-0.149934,23.829962,2.430238,down the T,Out
Juan Potro,977,Serve,Kick,46.267315,280,0,0,0.357326,6.142306,-0.362062,24.504835,2.644078,down the T,In
Roger Federer,978,Backhand,Flat,49.204723,280,0,0,2.340735,20.157784,0.677468,0.526066,1.135633,inside in,In
Juan Potro,979,Backhand,Topspin,55.129177,280,0,0,-1.385342,3.573605,2.729694,24.97455,0.978725,cross court,In
Roger Federer,980,Backhand,Topspin,55.423859,280,0,0,0.294149,18.882454,-1.968878,0.609381,0.892157,cross court,In
Juan Potro,981,Forehand,Topspin,53.92144,280,0,0,-1.827233,3.466095,0.665286,24.613773,0.938207,inside out,In
Roger Federer,982,Backhand,Topspin,45.339672,280,0,0,0.381808,20.171034,-2.165644,0.487103,0.930839,cross court,In
Juan Potro,983,Forehand,Topspin,64.415443,280,0,0,2.19383,3.671594,0.802907,25.469873,1.026391,inside in,In
Roger Federer,984,Forehand,Flat,60.207531,280,0,0,-2.240403,20.029339,3.368905,-0.15614,1.075027,cross court,In
Juan Potro,985,Forehand,Topspin,52.568504,280,0,0,-1.051741,3.190835,-2.402876,23.85622,0.717675,down the line,In
